alert_id,created_at,alert_type,severity,title,description,entity_type,entity_id,threshold_value,actual_value,status,assigned_to,resolved_at,resolution_notes,auto_generated,escalation_level,related_alerts
ALT-000024,2018-08-21T19:00:00Z,Price spike,High,Price spike detected for PO-135865,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-135865,57.01,125.2,resolved,USR-0025,2018-08-26T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000025,2015-09-23T13:00:00Z,Stock low,Medium,Stock low detected for INV-VN-REE,Automated monitoring threshold exceeded; review recommended.,inventory,INV-VN-REE,49.46,124.52,resolved,USR-0065,2015-09-30T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000026,2019-09-24T19:00:00Z,Demand surge,High,Demand surge detected for PO-134797,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-134797,63.94,97.78,resolved,USR-0076,2019-09-25T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000027,2021-01-10T04:00:00Z,Stock low,Medium,Stock low detected for INV-BR-ALM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-BR-ALM,32.07,63.73,resolved,USR-0053,2021-01-18T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000028,2024-02-28T14:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-137572,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-137572,85.12,66.14,resolved,USR-0078,2024-03-05T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000029,2016-07-09T06:00:00Z,Price spike,High,Price spike detected for PO-113233,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-113233,79.96,115.98,resolved,USR-0023,2016-07-27T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000030,2018-01-03T23:00:00Z,Stock low,Medium,Stock low detected for INV-ZA-PAP,Automated monitoring threshold exceeded; review recommended.,inventory,INV-ZA-PAP,38.02,96.42,resolved,USR-0065,2018-01-22T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000031,2023-07-29T04:00:00Z,Stock overstock,Low,Stock overstock detected for INV-IN-NIC,Automated monitoring threshold exceeded; review recommended.,inventory,INV-IN-NIC,37.44,51.45,resolved,USR-0081,2023-08-15T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000032,2022-05-15T22:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0016,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0016,49.69,136.12,resolved,USR-0010,2022-06-08T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000033,2016-06-18T14:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0131,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0131,25.9,114.42,resolved,USR-0051,2016-07-15T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000034,2022-11-20T06:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-113877,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-113877,71.6,96.38,open,USR-0055,,,true,1,[]
ALT-000035,2015-06-05T16:00:00Z,Price spike,High,Price spike detected for PO-126186,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-126186,32.76,36.73,resolved,USR-0017,2015-06-17T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000036,2023-05-13T03:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0021,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0021,62.58,106.26,resolved,USR-0074,2023-06-09T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000037,2016-01-17T21:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0076,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0076,33.31,121.52,resolved,USR-0022,2016-02-08T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000038,2018-11-04T13:00:00Z,Stock low,Medium,Stock low detected for INV-CN-LIT,Automated monitoring threshold exceeded; review recommended.,inventory,INV-CN-LIT,17.37,47.07,open,USR-0080,,,true,0,[]
ALT-000039,2019-03-30T11:00:00Z,Demand surge,High,Demand surge detected for PO-126325,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-126325,42.74,42.68,resolved,USR-0018,2019-04-24T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000040,2020-10-04T05:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0166,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0166,64.0,36.82,resolved,USR-0083,2020-10-15T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000041,2024-11-23T05:00:00Z,Stock overstock,Low,Stock overstock detected for INV-US-GLS,Automated monitoring threshold exceeded; review recommended.,inventory,INV-US-GLS,37.53,59.65,resolved,USR-0072,2024-12-22T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000042,2022-06-13T19:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0048,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0048,22.05,70.22,open,USR-0075,,,true,2,[]
ALT-000043,2020-03-26T17:00:00Z,Stock overstock,Low,Stock overstock detected for INV-KR-SEM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-KR-SEM,91.0,87.88,resolved,USR-0055,2020-04-10T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000044,2020-07-17T05:00:00Z,Stock overstock,Low,Stock overstock detected for INV-BR-PLA,Automated monitoring threshold exceeded; review recommended.,inventory,INV-BR-PLA,48.02,36.58,open,USR-0043,,,true,3,[]
ALT-000045,2018-07-11T22:00:00Z,Stock overstock,Low,Stock overstock detected for INV-PL-NIC,Automated monitoring threshold exceeded; review recommended.,inventory,INV-PL-NIC,19.3,23.09,open,USR-0011,,,true,0,[]
ALT-000046,2015-11-03T04:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0057,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0057,63.63,131.29,open,USR-0049,,,true,3,[]
ALT-000047,2017-09-27T08:00:00Z,Supplier delay,High,Supplier delay detected for SUP-0144,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0144,88.96,56.87,resolved,USR-0064,2017-10-02T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000048,2015-11-18T22:00:00Z,Supplier delay,High,Supplier delay detected for SUP-0007,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0007,33.04,32.46,open,USR-0072,,,true,0,[]
ALT-000049,2024-07-27T16:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0182,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0182,15.27,124.55,resolved,USR-0062,2024-08-15T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000050,2016-03-18T11:00:00Z,Stock overstock,Low,Stock overstock detected for INV-VN-COP,Automated monitoring threshold exceeded; review recommended.,inventory,INV-VN-COP,19.86,125.59,resolved,USR-0057,2016-03-28T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000051,2018-08-29T07:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0139,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0139,32.57,69.47,resolved,USR-0038,2018-09-21T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000052,2018-01-29T15:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0004,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0004,44.24,136.33,open,USR-0006,,,true,0,[]
ALT-000053,2015-02-25T09:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-135605,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-135605,95.88,110.72,open,USR-0062,,,true,2,[]
ALT-000054,2015-09-18T13:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0075,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0075,29.63,100.6,open,USR-0074,,,true,3,[]
ALT-000055,2016-04-30T17:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0054,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0054,52.42,94.45,resolved,USR-0069,2016-05-22T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000056,2021-10-07T06:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0168,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0168,99.41,116.99,resolved,USR-0078,2021-10-24T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000057,2020-09-20T11:00:00Z,Stock overstock,Low,Stock overstock detected for INV-IN-SEM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-IN-SEM,54.22,99.77,resolved,USR-0059,2020-10-20T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000058,2017-04-02T14:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0145,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0145,18.46,88.26,resolved,USR-0037,2017-04-20T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000059,2020-02-29T10:00:00Z,Stock low,Medium,Stock low detected for INV-TH-STL,Automated monitoring threshold exceeded; review recommended.,inventory,INV-TH-STL,28.29,137.18,resolved,USR-0085,2020-03-01T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000060,2024-10-03T10:00:00Z,Stock low,Medium,Stock low detected for INV-US-SEM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-US-SEM,69.43,139.16,resolved,USR-0046,2024-10-13T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000061,2017-07-01T01:00:00Z,Stock low,Medium,Stock low detected for INV-BR-TIM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-BR-TIM,43.34,26.62,resolved,USR-0056,2017-07-21T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000062,2022-10-06T18:00:00Z,Stock low,Medium,Stock low detected for INV-VN-COP,Automated monitoring threshold exceeded; review recommended.,inventory,INV-VN-COP,25.33,89.86,open,USR-0014,,,true,0,[]
ALT-000063,2015-01-11T03:00:00Z,Price spike,High,Price spike detected for PO-145757,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-145757,43.26,98.79,resolved,USR-0076,2015-01-13T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000064,2018-09-27T19:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0034,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0034,74.02,120.6,open,USR-0062,,,true,0,[]
ALT-000065,2015-01-13T17:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0163,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0163,93.94,42.2,open,USR-0024,,,true,0,[]
ALT-000066,2022-04-06T15:00:00Z,Stock overstock,Low,Stock overstock detected for INV-VN-CTN,Automated monitoring threshold exceeded; review recommended.,inventory,INV-VN-CTN,56.07,36.67,resolved,USR-0037,2022-04-28T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000067,2023-11-14T18:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0004,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0004,35.91,24.07,open,USR-0022,,,true,3,[]
ALT-000068,2015-02-25T22:00:00Z,Stock low,Medium,Stock low detected for INV-ZA-REE,Automated monitoring threshold exceeded; review recommended.,inventory,INV-ZA-REE,27.23,55.64,resolved,USR-0002,2015-03-16T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000069,2020-09-05T07:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0017,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0017,55.34,111.42,resolved,USR-0073,2020-09-10T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000070,2023-02-18T13:00:00Z,Demand surge,High,Demand surge detected for PO-137996,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-137996,95.27,47.33,open,USR-0074,,,true,3,[]
ALT-000071,2019-05-16T21:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0055,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0055,30.19,26.0,resolved,USR-0053,2019-05-21T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000072,2017-10-23T13:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-106791,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-106791,96.83,124.81,resolved,USR-0042,2017-11-02T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000073,2020-06-17T20:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0004,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0004,17.44,131.29,resolved,USR-0049,2020-06-29T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000074,2023-07-05T17:00:00Z,Stock low,Medium,Stock low detected for INV-MX-REE,Automated monitoring threshold exceeded; review recommended.,inventory,INV-MX-REE,76.56,138.38,open,USR-0082,,,true,0,[]
ALT-000075,2022-12-21T04:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0140,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0140,88.87,41.7,resolved,USR-0048,2022-12-24T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000076,2022-01-23T10:00:00Z,Stock overstock,Low,Stock overstock detected for INV-CA-TIM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-CA-TIM,95.83,99.29,resolved,USR-0058,2022-02-13T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000077,2020-05-12T15:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-139187,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-139187,20.06,41.13,open,USR-0051,,,true,2,[]
ALT-000078,2022-09-02T07:00:00Z,Stock low,Medium,Stock low detected for INV-IN-LIT,Automated monitoring threshold exceeded; review recommended.,inventory,INV-IN-LIT,82.33,108.44,open,USR-0020,,,true,0,[]
ALT-000079,2018-05-10T06:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0108,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0108,39.07,46.88,resolved,USR-0070,2018-05-27T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000080,2023-12-09T21:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0020,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0020,53.12,24.99,resolved,USR-0007,2023-12-21T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000081,2015-11-30T02:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0131,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0131,51.71,81.71,resolved,USR-0079,2015-12-15T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000082,2021-11-15T11:00:00Z,Demand surge,High,Demand surge detected for PO-111366,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-111366,91.71,127.91,open,USR-0063,,,true,1,[]
ALT-000083,2023-01-09T20:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0175,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0175,22.6,61.23,resolved,USR-0058,2023-01-19T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000084,2022-12-30T19:00:00Z,Supplier delay,High,Supplier delay detected for SUP-0050,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0050,68.54,93.49,open,USR-0003,,,true,0,[]
ALT-000085,2021-04-06T18:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0154,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0154,54.34,132.72,resolved,USR-0012,2021-05-05T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000086,2019-05-20T12:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0102,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0102,11.21,39.38,open,USR-0043,,,true,3,[]
ALT-000087,2022-11-28T21:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0155,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0155,90.5,30.45,open,USR-0029,,,true,3,[]
ALT-000088,2020-08-03T10:00:00Z,Stock low,Medium,Stock low detected for INV-DE-CEM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-DE-CEM,25.1,55.86,resolved,USR-0084,2020-08-09T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000089,2021-07-20T14:00:00Z,Price spike,High,Price spike detected for PO-127375,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-127375,76.64,109.6,resolved,USR-0045,2021-08-16T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000090,2024-02-22T05:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0049,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0049,39.21,33.92,resolved,USR-0031,2024-03-03T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000091,2022-11-25T22:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-145298,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-145298,73.14,23.71,open,USR-0053,,,true,0,[]
ALT-000092,2021-12-08T08:00:00Z,Supplier delay,High,Supplier delay detected for SUP-0187,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0187,33.04,16.02,open,USR-0017,,,true,0,[]
ALT-000093,2019-02-07T19:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0189,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0189,66.7,121.93,resolved,USR-0043,2019-02-15T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000094,2017-02-20T17:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0050,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0050,91.72,75.26,resolved,USR-0027,2017-03-15T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000095,2022-01-20T00:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0043,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0043,89.09,126.98,open,USR-0062,,,true,1,[]
ALT-000096,2018-10-04T23:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0177,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0177,66.47,131.98,open,USR-0049,,,true,0,[]
ALT-000097,2018-04-30T00:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-118629,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-118629,23.62,79.04,open,USR-0075,,,true,1,[]
ALT-000098,2015-06-15T14:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0009,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0009,33.04,50.63,open,USR-0048,,,true,1,[]
ALT-000099,2015-06-24T11:00:00Z,Price spike,High,Price spike detected for PO-136084,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-136084,61.84,52.17,resolved,USR-0059,2015-07-08T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000100,2019-11-14T10:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0147,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0147,92.86,31.63,open,USR-0085,,,true,0,[]
ALT-000101,2017-02-01T14:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-124709,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-124709,51.54,21.17,resolved,USR-0058,2017-02-08T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000102,2024-05-07T15:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0026,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0026,43.16,112.0,resolved,USR-0044,2024-05-15T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000103,2020-09-10T03:00:00Z,Contract expiring,Medium,Contract expiring detected for SUP-0154,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0154,90.16,121.88,open,USR-0048,,,true,3,[]
ALT-000104,2015-04-25T13:00:00Z,Stock overstock,Low,Stock overstock detected for INV-MX-SLC,Automated monitoring threshold exceeded; review recommended.,inventory,INV-MX-SLC,52.02,131.96,resolved,USR-0062,2015-05-06T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000105,2018-06-04T07:00:00Z,Supplier delay,High,Supplier delay detected for SUP-0143,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0143,52.44,93.83,open,USR-0054,,,true,0,[]
ALT-000106,2016-04-23T00:00:00Z,Quality failure,Critical,Quality failure detected for SUP-0154,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0154,57.33,17.42,resolved,USR-0049,2016-05-03T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000107,2019-11-24T04:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0127,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0127,73.05,32.83,resolved,USR-0031,2019-12-12T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000108,2022-04-23T03:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-144227,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-144227,77.86,47.29,resolved,USR-0006,2022-05-16T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000109,2022-12-29T14:00:00Z,Stock overstock,Low,Stock overstock detected for INV-US-ALM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-US-ALM,63.49,44.3,resolved,USR-0065,2023-01-20T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
