contract_id,customer_id,supplier_id,commodity_code,contract_type,start_date,end_date,contract_value_usd,payment_terms,delivery_terms,quality_requirements,penalty_clauses,termination_notice_days,auto_renewal,renewal_date,signed_by_customer,signed_by_supplier,contract_status,amendments_count,version
CON-00011,CUS-0276,SUP-0058,TIM,Volume Discount,2016-06-25,2019-06-25,5205001.6,Net 45,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2019-05-26,true,true,expired,0,3
CON-00012,CUS-0165,SUP-0148,NIC,Fixed Price,2018-07-22,2019-07-22,197057.09,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2019-06-22,true,true,expired,4,2
CON-00013,CUS-0142,SUP-0051,COP,Cost Plus,2019-12-11,2021-12-10,10621817.57,Net 30,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2021-11-10,true,true,expired,5,6
CON-00014,CUS-0156,SUP-0128,ALM,Cost Plus,2016-11-07,2018-11-07,5648393.9,Net 90,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2018-10-08,true,true,expired,4,6
CON-00015,CUS-0091,SUP-0192,NIC,Fixed Price,2021-05-22,2024-05-21,14524380.74,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2024-04-21,true,true,active,3,1
CON-00016,CUS-0255,SUP-0161,CEM,Fixed Price,2018-03-20,2019-03-20,6452937.39,Net 90,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2019-02-18,true,true,expired,2,1
CON-00017,CUS-0070,SUP-0012,CEM,Time & Materials,2022-01-08,2025-01-07,2592660.7,Net 60,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2024-12-08,true,true,active,0,2
CON-00018,CUS-0042,SUP-0185,STL,Time & Materials,2018-10-05,2021-10-04,399110.04,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2021-09-04,true,true,expired,0,1
CON-00019,CUS-0294,SUP-0157,STL,Cost Plus,2017-07-07,2020-07-06,14727700.99,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2020-06-06,true,true,expired,1,1
CON-00020,CUS-0257,SUP-0037,RBR,Cost Plus,2018-01-21,2020-01-21,7483111.08,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2019-12-22,true,true,expired,4,4
CON-00021,CUS-0082,SUP-0019,SLC,Time & Materials,2020-02-18,2022-02-17,4206021.96,Net 60,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2022-01-18,true,true,expired,3,3
CON-00022,CUS-0244,SUP-0040,PAP,Framework,2020-04-24,2022-04-24,4771962.41,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2022-03-25,true,true,expired,3,6
CON-00023,CUS-0248,SUP-0119,STL,Framework,2018-05-03,2021-05-02,13878844.63,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2021-04-02,true,true,expired,3,3
CON-00024,CUS-0293,SUP-0136,CTN,Volume Discount,2019-12-16,2021-12-15,538821.82,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2021-11-15,true,true,expired,2,6
CON-00025,CUS-0259,SUP-0053,ALM,Time & Materials,2021-08-21,2022-08-21,5680179.7,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2022-07-22,true,true,expired,5,6
CON-00026,CUS-0162,SUP-0125,NIC,Cost Plus,2015-10-21,2018-10-20,7333352.34,Net 45,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2018-09-20,true,true,expired,3,4
CON-00027,CUS-0092,SUP-0142,ALM,Fixed Price,2022-03-08,2025-03-07,11129471.92,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2025-02-05,true,true,active,1,2
CON-00028,CUS-0025,SUP-0050,TIM,Fixed Price,2021-03-10,2024-03-09,9602665.36,Net 90,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2024-02-08,true,true,active,0,2
CON-00029,CUS-0054,SUP-0192,LIT,Cost Plus,2021-11-01,2023-11-01,7965642.02,Net 45,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2023-10-02,true,true,expired,2,6
CON-00030,CUS-0103,SUP-0010,SLC,Framework,2017-08-09,2020-08-08,9567537.9,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2020-07-09,true,true,expired,0,1
CON-00031,CUS-0109,SUP-0108,NIC,Time & Materials,2021-07-15,2023-07-15,938867.09,Net 60,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2023-06-15,true,true,expired,5,6
CON-00032,CUS-0026,SUP-0067,CEM,Cost Plus,2022-08-17,2025-08-16,2908249.26,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2025-07-17,true,true,active,2,2
CON-00033,CUS-0303,SUP-0199,STL,Fixed Price,2015-02-18,2018-02-17,7023911.93,Net 90,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2018-01-18,true,true,expired,2,1
CON-00034,CUS-0005,SUP-0132,PAP,Fixed Price,2016-12-09,2019-12-09,6877570.69,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2019-11-09,true,true,expired,5,1
CON-00035,CUS-0156,SUP-0167,PLA,Volume Discount,2015-09-04,2016-09-03,3312345.96,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2016-08-04,true,true,expired,1,1
CON-00036,CUS-0165,SUP-0105,SEM,Cost Plus,2020-09-07,2023-09-07,13520561.08,Net 60,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2023-08-08,true,true,expired,5,2
CON-00037,CUS-0206,SUP-0068,PAP,Cost Plus,2017-01-19,2018-01-19,10842502.38,Net 30,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2017-12-20,true,true,expired,0,5
CON-00038,CUS-0231,SUP-0122,CEM,Cost Plus,2023-11-24,2025-11-23,9623910.79,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2025-10-24,true,true,active,2,1
CON-00039,CUS-0104,SUP-0198,CTN,Time & Materials,2015-10-08,2017-10-07,1283588.04,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2017-09-07,true,true,expired,5,5
CON-00040,CUS-0032,SUP-0111,LIT,Volume Discount,2021-05-09,2022-05-09,11094347.77,Net 30,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2022-04-09,true,true,expired,0,1
CON-00041,CUS-0247,SUP-0039,CEM,Fixed Price,2022-10-07,2024-10-06,670247.89,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2024-09-06,true,true,active,2,1
CON-00042,CUS-0265,SUP-0153,CTN,Fixed Price,2022-12-25,2023-12-25,8089321.36,Net 30,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2023-11-25,true,true,expired,2,6
CON-00043,CUS-0284,SUP-0166,SLC,Cost Plus,2022-04-21,2023-04-21,5206916.85,Net 30,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2023-03-22,true,true,expired,2,1
CON-00044,CUS-0093,SUP-0079,PAP,Fixed Price,2016-03-24,2017-03-24,6124107.19,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2017-02-22,true,false,expired,4,2
CON-00045,CUS-0141,SUP-0139,LIT,Time & Materials,2017-10-08,2019-10-08,14104169.12,Net 90,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2019-09-08,true,false,expired,0,6
CON-00046,CUS-0018,SUP-0127,REE,Cost Plus,2020-11-01,2022-11-01,3003867.72,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2022-10-02,true,true,expired,5,3
CON-00047,CUS-0182,SUP-0120,CTN,Cost Plus,2015-06-08,2018-06-07,13246473.75,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2018-05-08,true,true,expired,2,4
CON-00048,CUS-0315,SUP-0205,STL,Fixed Price,2018-05-11,2020-05-10,6759154.92,Net 30,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2020-04-10,true,true,expired,1,5
CON-00049,CUS-0010,SUP-0053,SLC,Fixed Price,2022-08-17,2024-08-16,14943686.63,Net 45,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2024-07-17,true,true,active,1,4
CON-00050,CUS-0176,SUP-0029,SLC,Fixed Price,2022-09-20,2024-09-19,9908672.07,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2024-08-20,true,true,active,1,4
CON-00051,CUS-0144,SUP-0124,SLC,Cost Plus,2019-09-25,2022-09-24,2789331.45,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2022-08-25,true,true,expired,1,5
CON-00052,CUS-0079,SUP-0102,CEM,Time & Materials,2018-06-18,2021-06-17,10678614.75,Net 90,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2021-05-18,true,true,expired,2,2
CON-00053,CUS-0240,SUP-0038,SLC,Cost Plus,2023-10-24,2025-10-23,3361258.01,Net 60,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2025-09-23,true,true,active,3,2
CON-00054,CUS-0038,SUP-0163,ALM,Time & Materials,2016-02-10,2017-02-09,5378870.66,Net 30,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2017-01-10,true,true,expired,1,1
CON-00055,CUS-0203,SUP-0152,LIT,Cost Plus,2015-12-14,2017-12-13,7449217.49,Net 45,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2017-11-13,true,true,expired,5,5
CON-00056,CUS-0047,SUP-0028,TIM,Cost Plus,2016-03-24,2018-03-24,4802490.54,Net 30,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2018-02-22,true,true,expired,4,3
CON-00057,CUS-0071,SUP-0171,LIT,Volume Discount,2020-04-23,2023-04-23,1344649.45,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2023-03-24,true,true,expired,5,4
CON-00058,CUS-0107,SUP-0200,SLC,Cost Plus,2020-08-02,2021-08-02,4404982.71,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2021-07-03,true,true,expired,1,2
CON-00059,CUS-0207,SUP-0078,CTN,Cost Plus,2021-07-13,2022-07-13,7768140.52,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2022-06-13,true,true,expired,0,5
CON-00060,CUS-0204,SUP-0142,SLC,Time & Materials,2019-11-20,2022-11-19,1812451.67,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2022-10-20,true,true,expired,3,4
CON-00061,CUS-0232,SUP-0025,PAP,Framework,2017-04-20,2019-04-20,12580393.9,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2019-03-21,true,true,expired,0,1
CON-00062,CUS-0087,SUP-0038,RBR,Cost Plus,2020-02-15,2021-02-14,5467061.63,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2021-01-15,true,true,expired,2,4
CON-00063,CUS-0014,SUP-0049,SLC,Cost Plus,2022-08-12,2025-08-11,3932714.6,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2025-07-12,true,true,active,5,2
CON-00064,CUS-0088,SUP-0152,COP,Framework,2023-02-11,2024-02-11,10332131.41,Net 45,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2024-01-12,true,true,active,0,3
CON-00065,CUS-0175,SUP-0128,SEM,Cost Plus,2023-05-09,2026-05-08,13156490.7,Net 90,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2026-04-08,true,true,active,5,3
CON-00066,CUS-0190,SUP-0024,PAP,Fixed Price,2018-01-06,2019-01-06,5615165.35,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2018-12-07,true,true,expired,0,1
CON-00067,CUS-0208,SUP-0096,NIC,Fixed Price,2020-11-09,2022-11-09,7400922.64,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2022-10-10,true,true,expired,1,6
CON-00068,CUS-0300,SUP-0110,RBR,Cost Plus,2019-06-25,2022-06-24,12172695.27,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2022-05-25,true,true,expired,2,1
CON-00069,CUS-0133,SUP-0154,GLS,Fixed Price,2022-08-18,2023-08-18,14078017.73,Net 45,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2023-07-19,true,true,expired,2,4
CON-00070,CUS-0270,SUP-0012,STL,Fixed Price,2020-02-23,2022-02-22,12845218.65,Net 60,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2022-01-23,true,true,expired,2,5
CON-00071,CUS-0192,SUP-0112,GLS,Fixed Price,2019-08-20,2020-08-19,9834870.09,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2020-07-20,true,true,expired,4,3
CON-00072,CUS-0152,SUP-0147,SEM,Cost Plus,2019-08-22,2021-08-21,9732457.71,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2021-07-22,true,true,expired,1,5
CON-00073,CUS-0263,SUP-0178,STL,Fixed Price,2022-03-12,2025-03-11,5800777.1,Net 30,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2025-02-09,true,true,active,4,1
CON-00074,CUS-0218,SUP-0013,STL,Time & Materials,2017-08-23,2020-08-22,8813961.78,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2020-07-23,true,true,expired,0,6
CON-00075,CUS-0306,SUP-0036,PAP,Framework,2021-04-10,2023-04-10,14753303.94,Net 30,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2023-03-11,true,true,expired,4,4
CON-00076,CUS-0053,SUP-0163,PAP,Fixed Price,2016-03-14,2018-03-14,10893238.43,Net 30,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2018-02-12,true,true,expired,4,1
CON-00077,CUS-0205,SUP-0184,ALM,Fixed Price,2015-08-23,2017-08-22,2342089.95,Net 30,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2017-07-23,true,true,expired,5,4
CON-00078,CUS-0285,SUP-0114,LIT,Fixed Price,2021-02-07,2023-02-07,4922148.79,Net 90,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2023-01-08,true,true,expired,0,6
CON-00079,CUS-0172,SUP-0108,CEM,Time & Materials,2016-12-03,2017-12-03,3931013.7,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2017-11-03,true,true,expired,0,2
CON-00080,CUS-0131,SUP-0084,CEM,Fixed Price,2018-10-11,2019-10-11,13524528.75,Net 30,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2019-09-11,true,true,expired,5,5
CON-00081,CUS-0022,SUP-0130,ALM,Fixed Price,2016-12-01,2019-12-01,13257440.97,Net 90,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2019-11-01,true,true,expired,0,4
CON-00082,CUS-0092,SUP-0158,SLC,Volume Discount,2019-04-03,2022-04-02,10888046.18,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2022-03-03,true,true,expired,4,6
CON-00083,CUS-0083,SUP-0198,CEM,Volume Discount,2016-09-14,2018-09-14,4489573.48,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2018-08-15,true,true,expired,1,6
CON-00084,CUS-0159,SUP-0036,ALM,Cost Plus,2017-10-11,2018-10-11,244232.12,Net 30,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2018-09-11,true,true,expired,1,5
CON-00085,CUS-0248,SUP-0144,REE,Time & Materials,2018-11-18,2020-11-17,6024397.98,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2020-10-18,true,true,expired,3,3
CON-00086,CUS-0059,SUP-0117,STL,Cost Plus,2021-11-20,2022-11-20,5772798.76,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2022-10-21,true,true,expired,5,2
CON-00087,CUS-0051,SUP-0112,PAP,Time & Materials,2016-10-16,2019-10-16,10598626.69,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2019-09-16,true,true,expired,4,4
CON-00088,CUS-0243,SUP-0201,ALM,Cost Plus,2017-07-03,2019-07-03,6769801.57,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2019-06-03,true,true,expired,0,1
CON-00089,CUS-0122,SUP-0144,PAP,Fixed Price,2017-03-07,2018-03-07,13915140.1,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2018-02-05,true,true,expired,0,1
CON-00090,CUS-0105,SUP-0079,SEM,Volume Discount,2018-07-19,2020-07-18,11470627.83,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2020-06-18,true,true,expired,3,2
CON-00091,CUS-0065,SUP-0193,GLS,Time & Materials,2021-06-03,2023-06-03,8279086.29,Net 30,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2023-05-04,true,true,expired,0,6
CON-00092,CUS-0175,SUP-0095,STL,Fixed Price,2021-08-10,2024-08-09,2596111.49,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2024-07-10,true,true,active,1,3
CON-00093,CUS-0228,SUP-0188,GLS,Fixed Price,2016-02-09,2019-02-08,13568905.45,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2019-01-09,true,true,expired,0,3
CON-00094,CUS-0299,SUP-0002,REE,Volume Discount,2016-01-24,2019-01-23,3908736.48,Net 30,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2018-12-24,true,true,expired,1,5
CON-00095,CUS-0137,SUP-0071,GLS,Fixed Price,2017-04-11,2020-04-10,12728543.39,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2020-03-11,true,true,expired,0,6
CON-00096,CUS-0088,SUP-0087,NIC,Cost Plus,2015-07-03,2016-07-02,1268400.41,Net 30,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2016-06-02,true,true,expired,5,3
CON-00097,CUS-0228,SUP-0105,PAP,Cost Plus,2017-02-11,2020-02-11,7116877.72,Net 60,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2020-01-12,true,true,expired,1,2
CON-00098,CUS-0134,SUP-0199,GLS,Fixed Price,2023-09-09,2025-09-08,9162187.46,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2025-08-09,true,true,active,3,2
CON-00099,CUS-0087,SUP-0005,REE,Fixed Price,2021-05-09,2024-05-08,11771003.82,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2024-04-08,true,true,active,5,1
CON-00100,CUS-0242,SUP-0116,CEM,Volume Discount,2018-11-20,2021-11-19,6277787.66,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2021-10-20,true,false,expired,5,2
CON-00101,CUS-0105,SUP-0112,RBR,Volume Discount,2017-02-13,2020-02-13,7870641.5,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2020-01-14,true,true,expired,3,1
CON-00102,CUS-0124,SUP-0141,REE,Fixed Price,2019-05-04,2020-05-03,13734969.95,Net 45,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2020-04-03,true,true,expired,1,2
CON-00103,CUS-0255,SUP-0102,NIC,Time & Materials,2017-12-17,2019-12-17,4211851.63,Net 90,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2019-11-17,true,true,expired,3,6
CON-00104,CUS-0249,SUP-0150,TIM,Cost Plus,2016-01-23,2017-01-22,3097106.77,Net 30,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2016-12-23,true,true,expired,2,2
CON-00105,CUS-0160,SUP-0187,TIM,Time & Materials,2020-03-14,2021-03-14,4794237.21,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2021-02-12,true,true,expired,3,3
CON-00106,CUS-0029,SUP-0173,SLC,Cost Plus,2015-11-19,2017-11-18,11657488.08,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2017-10-19,true,true,expired,4,3
CON-00107,CUS-0318,SUP-0112,PLA,Volume Discount,2023-05-14,2025-05-13,2590073.31,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2025-04-13,true,true,active,5,6
CON-00108,CUS-0162,SUP-0187,LIT,Time & Materials,2018-11-13,2019-11-13,11808139.61,Net 90,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2019-10-14,true,true,expired,2,4
CON-00109,CUS-0177,SUP-0033,CTN,Volume Discount,2015-05-24,2016-05-23,4951861.06,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2016-04-23,true,true,expired,0,5
CON-00110,CUS-0042,SUP-0170,SLC,Fixed Price,2017-03-06,2020-03-05,8823338.36,Net 90,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2020-02-04,true,true,expired,2,3
CON-00111,CUS-0029,SUP-0006,PAP,Fixed Price,2017-02-21,2019-02-21,5879021.97,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2019-01-22,true,true,expired,1,4
CON-00112,CUS-0249,SUP-0016,TIM,Time & Materials,2016-04-11,2017-04-11,768265.07,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2017-03-12,true,true,expired,5,5
CON-00113,CUS-0046,SUP-0076,NIC,Framework,2020-01-15,2022-01-14,9749449.51,Net 30,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2021-12-15,true,true,expired,1,3
CON-00114,CUS-0317,SUP-0121,TIM,Time & Materials,2020-05-02,2023-05-02,4270346.18,Net 30,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2023-04-02,true,true,expired,3,5
CON-00115,CUS-0090,SUP-0064,PAP,Fixed Price,2020-09-23,2021-09-23,13647183.67,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,true,2021-08-24,true,true,expired,1,1
CON-00116,CUS-0208,SUP-0056,RBR,Fixed Price,2016-10-07,2018-10-07,9614643.89,Net 90,CIF,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2018-09-07,true,true,expired,4,2
CON-00117,CUS-0189,SUP-0001,LIT,Fixed Price,2022-03-18,2024-03-17,345867.93,Net 30,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2024-02-16,true,true,active,1,3
CON-00118,CUS-0188,SUP-0124,NIC,Volume Discount,2022-01-25,2025-01-24,843494.63,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2024-12-25,true,true,active,4,5
CON-00119,CUS-0003,SUP-0201,STL,Time & Materials,2019-04-19,2020-04-18,7982019.27,Net 90,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2020-03-19,true,true,expired,2,3
CON-00120,CUS-0182,SUP-0005,GLS,Time & Materials,2021-12-21,2022-12-21,8613856.62,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2022-11-21,true,true,expired,5,2
CON-00121,CUS-0172,SUP-0109,GLS,Volume Discount,2021-03-13,2023-03-13,12923449.41,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2023-02-11,true,true,expired,3,1
CON-00122,CUS-0191,SUP-0179,GLS,Volume Discount,2019-12-23,2022-12-22,8681896.84,Net 30,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2022-11-22,true,true,expired,3,3
